Time_s,Gate_V,Inductor_Current_A,Output_Voltage_V,Switching_Node_V,Diode_Current_A,Load_Current_A
3.8e-05,0.0,1.727757596342848,0.1014667697025923,0.800685241037498,1.7235582815838857,0.0042277820709413
3.81e-05,0.0,1.7319561295731454,0.1022501923454432,0.8014667697025923,1.727757596342848,0.0042604246810601
3.82e-05,0.0,1.7361538793808,0.1030355085749396,0.8022501923454431,1.7319561295731454,0.0042931461906224
3.83e-05,0.0,1.740350843872225,0.1038227179991169,0.8030355085749395,1.7361538793808,0.0043259465832965
3.84e-05,0.0,1.744547021154226,0.1046118202251573,0.8038227179991169,1.740350843872225,0.0043588258427148
3.85e-05,0.0,1.748742409334001,0.1054028148593898,0.8046118202251573,1.744547021154226,0.0043917839524745
3.86e-05,0.0,1.7529370065191416,0.1061957015072905,0.8054028148593898,1.748742409334001,0.0044248208961371
3.87e-05,0.0,1.7571308108176344,0.1069904797734828,0.8061957015072906,1.7529370065191416,0.0044579366572284
3.88e-05,0.0,1.761323820337861,0.1077871492617375,0.8069904797734828,1.7571308108176344,0.004491131219239
3.89e-05,0.0,1.7655160331885993,0.1085857095749733,0.8077871492617376,1.761323820337861,0.0045244045656238
3.9e-05,0.0,1.7697074474790244,0.1093861603152565,0.8085857095749733,1.7655160331885993,0.0045577566798023
3.91e-05,0.0,1.7738980613187092,0.1101885010838016,0.8093861603152565,1.7697074474790244,0.0045911875451584
3.92e-05,0.0,1.7780878728176257,0.1109927314809714,0.8101885010838016,1.7738980613187092,0.0046246971450404
3.93e-05,0.0,1.7822768800861446,0.1117988511062771,0.8109927314809714,1.7780878728176257,0.0046582854627615
3.94e-05,0.0,1.7864650812350382,0.1126068595583786,0.811798851106277,1.7822768800861446,0.0046919524815991
3.95e-05,0.0,1.79065247437548,0.1134167564350847,0.8126068595583786,1.7864650812350382,0.0047256981847951
3.96e-05,0.0,1.794839057619045,0.1142285413333532,0.8134167564350847,1.79065247437548,0.0047595225555563
3.97e-05,0.0,1.7990248290777116,0.1150422138492912,0.8142285413333532,1.794839057619045,0.0047934255770538
3.98e-05,0.0,1.8032097868638624,0.1158577735781551,0.8150422138492912,1.7990248290777116,0.0048274072324231
3.99e-05,0.0,1.8073939290902843,0.1166752201143512,0.8158577735781551,1.8032097868638624,0.0048614675047646
4e-05,0.0,1.81157725387017,0.1174945530514356,0.8166752201143512,1.8073939290902843,0.0048956063771431
4.01e-05,5.0,1.8165772538701697,0.1174923277758096,0.0,0.0,0.0048955136573254
4.02e-05,5.0,1.8215772538701696,0.117490102542329,0.0,0.0,0.0048954209392637
4.03e-05,5.0,1.8265772538701697,0.1174878773509929,0.0,0.0,0.004895328222958
4.04e-05,5.0,1.8315772538701696,0.1174856522018007,0.0,0.0,0.0048952355084083
4.05e-05,5.0,1.8365772538701692,0.1174834270947514,0.0,0.0,0.0048951427956146
4.06e-05,5.0,1.8415772538701691,0.1174812020298443,0.0,0.0,0.0048950500845768
4.07e-05,5.0,1.8465772538701688,0.1174789770070786,0.0,0.0,0.0048949573752949
4.08e-05,5.0,1.8515772538701687,0.1174767520264535,0.0,0.0,0.0048948646677688
4.09e-05,5.0,1.856577253870169,0.1174745270879681,0.0,0.0,0.0048947719619986
4.1e-05,5.0,1.861577253870169,0.1174723021916217,0.0,0.0,0.0048946792579842
4.11e-05,5.0,1.8665772538701688,0.1174700773374136,0.0,0.0,0.0048945865557255
4.12e-05,5.0,1.8715772538701687,0.1174678525253428,0.0,0.0,0.0048944938552226
4.13e-05,5.0,1.8765772538701688,0.1174656277554086,0.0,0.0,0.0048944011564753
4.14e-05,5.0,1.8815772538701685,0.1174634030276102,0.0,0.0,0.0048943084594837
4.15e-05,5.0,1.8865772538701684,0.1174611783419468,0.0,0.0,0.0048942157642477
4.16e-05,5.0,1.8915772538701685,0.1174589536984176,0.0,0.0,0.0048941230707674
4.17e-05,5.0,1.896577253870168,0.1174567290970218,0.0,0.0,0.0048940303790425
4.18e-05,5.0,1.901577253870168,0.1174545045377586,0.0,0.0,0.0048939376890732
4.19e-05,5.0,1.906577253870168,0.1174522800206272,0.0,0.0,0.0048938450008594
4.2e-05,5.0,1.911577253870168,0.1174500555456268,0.0,0.0,0.0048937523144011
4.21e-05,5.0,1.916577253870168,0.1174478311127566,0.0,0.0,0.0048936596296981
4.22e-05,5.0,1.921577253870168,0.1174456067220159,0.0,0.0,0.0048935669467506
4.23e-05,5.0,1.9265772538701675,0.1174433823734037,0.0,0.0,0.0048934742655584
4.24e-05,5.0,1.9315772538701677,0.1174411580669193,0.0,0.0,0.0048933815861216
4.25e-05,5.0,1.9365772538701675,0.117438933802562,0.0,0.0,0.00489328890844
4.26e-05,5.0,1.9415772538701672,0.1174367095803309,0.0,0.0,0.0048931962325137
4.27e-05,5.0,1.9465772538701671,0.1174344854002252,0.0,0.0,0.0048931035583427
4.28e-05,5.0,1.951577253870167,0.1174322612622442,0.0,0.0,0.0048930108859268
4.29e-05,5.0,1.956577253870167,0.1174300371663869,0.0,0.0,0.0048929182152661
4.3e-05,5.0,1.9615772538701668,0.1174278131126527,0.0,0.0,0.0048928255463605
4.31e-05,5.0,1.966577253870167,0.1174255891010407,0.0,0.0,0.00489273287921
4.32e-05,5.0,1.9715772538701664,0.1174233651315502,0.0,0.0,0.0048926402138145
4.33e-05,5.0,1.9765772538701665,0.1174211412041803,0.0,0.0,0.0048925475501741
4.34e-05,5.0,1.9815772538701664,0.1174189173189302,0.0,0.0,0.0048924548882887
4.35e-05,5.0,1.9865772538701665,0.1174166934757992,0.0,0.0,0.0048923622281582
4.36e-05,0.0,1.9907598371766904,0.1183174593356364,0.8174166934757991,1.9865772538701665,0.0049298941389848
4.37e-05,0.0,1.9949415197173548,0.1192201093097445,0.8183174593356364,1.9907598371766904,0.0049675045545726
4.38e-05,0.0,1.999122299608045,0.1201246429530003,0.8192201093097444,1.9949415197173548,0.005005193456375
4.39e-05,0.0,2.003302174965092,0.1210310598194329,0.8201246429530002,1.999122299608045,0.0050429608258097
4.4e-05,0.0,2.0074811439052724,0.1219393594622234,0.8210310598194328,2.003302174965092,0.0050808066442593
4.41e-05,0.0,2.0116592045458104,0.1228495414337057,0.8219393594622234,2.0074811439052724,0.005118730893071
4.42e-05,0.0,2.0158363550043767,0.1237616052853661,0.8228495414337057,2.0116592045458104,0.0051567335535569
4.43e-05,0.0,2.020012593399092,0.1246755505678437,0.823761605285366,2.0158363550043767,0.0051948146069934
4.44e-05,0.0,2.024187917848524,0.125591376830931,0.8246755505678437,2.020012593399092,0.0052329740346221
4.45e-05,0.0,2.028362326471693,0.1265090836235737,0.8255913768309311,2.024187917848524,0.0052712118176489
4.46e-05,0.0,2.032535817388069,0.127428670493871,0.8265090836235738,2.028362326471693,0.0053095279372446
